volume_lookback,high_volume_percentile_threshold,atr_length,max_displacement_atr,near_vwap_threshold_atr,reversal_horizon_bars,trade_count,hit_rate,expectancy_after_cost,profit_factor,validation_status,passes_hard_filters
50,90.0,60,0.3,0.75,15,20,0.55,0.12391812287150969,1.0779849734874134,CANDIDATE,False
50,90.0,60,0.3,0.75,20,20,0.75,0.6584181228714442,1.5601175013794903,CANDIDATE,False
50,90.0,60,0.4,0.1,5,28,0.4642857142857143,-0.5191219932460497,0.525915987903205,CANDIDATE,False
50,90.0,60,0.4,0.1,10,28,0.5,-0.2578598166082884,0.807310518680762,CANDIDATE,False
50,90.0,60,0.4,0.1,15,28,0.5357142857142857,-0.4680125952188194,0.745200220374781,CANDIDATE,False
50,90.0,60,0.4,0.1,20,28,0.6785714285714286,-0.05265545236164014,0.9650792831329699,CANDIDATE,False
50,90.0,60,0.4,0.25,5,28,0.4642857142857143,-0.5191219932460497,0.525915987903205,CANDIDATE,False
50,90.0,60,0.4,0.25,10,28,0.5,-0.2578598166082884,0.807310518680762,CANDIDATE,False
50,90.0,60,0.4,0.25,15,28,0.5357142857142857,-0.4680125952188194,0.745200220374781,CANDIDATE,False
50,90.0,60,0.4,0.25,20,28,0.6785714285714286,-0.05265545236164014,0.9650792831329699,CANDIDATE,False
50,90.0,60,0.4,0.5,5,25,0.44,-0.5041831623385952,0.553345887368436,CANDIDATE,False
50,90.0,60,0.4,0.5,10,25,0.48,-0.24516952450430834,0.8291263419958946,CANDIDATE,False
50,90.0,60,0.4,0.5,15,25,0.52,-0.3457406365479983,0.8139579011257261,CANDIDATE,False
50,90.0,60,0.4,0.5,20,25,0.68,0.14745936345207156,1.1008613977100472,CANDIDATE,False
50,90.0,60,0.4,0.75,5,24,0.4166666666666667,-0.5621792604536798,0.5218886516340886,CANDIDATE,False
50,90.0,60,0.4,0.75,10,24,0.4583333333333333,-0.29237338770963106,0.8043779953992017,CANDIDATE,False
50,90.0,60,0.4,0.75,15,24,0.5,-0.39713496275514143,0.7948506434325855,CANDIDATE,False
50,90.0,60,0.4,0.75,20,24,0.6666666666666666,0.11661503724493134,1.076573485468637,CANDIDATE,False
50,90.0,60,0.5,0.1,5,32,0.46875,-0.5232942440902661,0.5165873033808591,CANDIDATE,False
50,90.0,60,0.5,0.1,10,32,0.46875,-0.4625023395321932,0.6775582818076059,CANDIDATE,False
50,90.0,60,0.5,0.1,15,32,0.5,-0.571386020816476,0.6952607888979164,CANDIDATE,False
50,90.0,60,0.5,0.1,20,32,0.65625,-0.22667052070517002,0.8552204258968826,CANDIDATE,False
50,90.0,60,0.5,0.25,5,32,0.46875,-0.5232942440902661,0.5165873033808591,CANDIDATE,False
50,90.0,60,0.5,0.25,10,32,0.46875,-0.4625023395321932,0.6775582818076059,CANDIDATE,False
50,90.0,60,0.5,0.25,15,32,0.5,-0.571386020816476,0.6952607888979164,CANDIDATE,False
50,90.0,60,0.5,0.25,20,32,0.65625,-0.22667052070517002,0.8552204258968826,CANDIDATE,False
50,90.0,60,0.5,0.5,5,28,0.4642857142857143,-0.4990921092308521,0.5543820453296563,CANDIDATE,False
50,90.0,60,0.5,0.5,10,28,0.4642857142857143,-0.4035442183073558,0.7302640698828808,CANDIDATE,False
50,90.0,60,0.5,0.5,15,28,0.5,-0.47798271120349717,0.7548357590456678,CANDIDATE,False
50,90.0,60,0.5,0.5,20,28,0.6428571428571429,-0.10869699691764774,0.931498628996295,CANDIDATE,False
50,90.0,60,0.5,0.75,5,27,0.4444444444444444,-0.5504556389217518,0.5260745455712597,CANDIDATE,False
50,90.0,60,0.5,0.75,10,27,0.4444444444444444,-0.45136893722331106,0.7090723011451523,CANDIDATE,False
50,90.0,60,0.5,0.75,15,27,0.48148148148148145,-0.528564411337828,0.7385741141945344,CANDIDATE,False
50,90.0,60,0.5,0.75,20,27,0.6296296296296297,-0.14560144837472494,0.9115183635805043,CANDIDATE,False
50,90.0,80,0.2,0.1,5,19,0.47368421052631576,-0.30354581210562365,0.7055962006122647,CANDIDATE,False
50,90.0,80,0.2,0.1,10,19,0.631578947368421,0.4198931850447767,1.4369096668045704,CANDIDATE,False
50,90.0,80,0.2,0.1,15,19,0.631578947368421,0.21596285675313034,1.1526523169013885,CANDIDATE,False
50,90.0,80,0.2,0.1,20,19,0.7894736842105263,0.8101733830685829,1.8148911740764186,CANDIDATE,False
50,90.0,80,0.2,0.25,5,19,0.47368421052631576,-0.30354581210562365,0.7055962006122647,CANDIDATE,False
50,90.0,80,0.2,0.25,10,19,0.631578947368421,0.4198931850447767,1.4369096668045704,CANDIDATE,False
50,90.0,80,0.2,0.25,15,19,0.631578947368421,0.21596285675313034,1.1526523169013885,CANDIDATE,False
50,90.0,80,0.2,0.25,20,19,0.7894736842105263,0.8101733830685829,1.8148911740764186,CANDIDATE,False
50,90.0,80,0.2,0.5,5,17,0.47058823529411764,-0.21379876814492438,0.788071191926377,CANDIDATE,False
50,90.0,80,0.2,0.5,10,17,0.6470588235294118,0.5453389345525733,1.556468300563855,CANDIDATE,False
50,90.0,80,0.2,0.5,15,17,0.6470588235294118,0.5156520970502991,1.4000951916866793,CANDIDATE,False
50,90.0,80,0.2,0.5,20,17,0.8235294117647058,1.2209462146970242,2.570051864587995,CANDIDATE,False
50,90.0,80,0.2,0.75,5,16,0.4375,-0.28264389068044693,0.7363089066538887,CANDIDATE,False
50,90.0,80,0.2,0.75,10,16,0.625,0.5239399184356444,1.5031835951362775,CANDIDATE,False
50,90.0,80,0.2,0.75,15,16,0.625,0.49239765358947807,1.359578386920662,CANDIDATE,False
50,90.0,80,0.2,0.75,20,16,0.8125,1.2417726535891234,2.502901850032503,CANDIDATE,False
50,90.0,80,0.3,0.1,5,25,0.44,-0.43021663243562214,0.5932142280299498,CANDIDATE,False
50,90.0,80,0.3,0.1,10,25,0.56,-0.06560299460121315,0.9485708728431999,CANDIDATE,False
50,90.0,80,0.3,0.1,15,25,0.56,-0.277790044102876,0.8369776736485554,CANDIDATE,False
50,90.0,80,0.3,0.1,20,25,0.72,0.12180995589704252,1.086932597699871,CANDIDATE,False
50,90.0,80,0.3,0.25,5,25,0.44,-0.43021663243562214,0.5932142280299498,CANDIDATE,False
50,90.0,80,0.3,0.25,10,25,0.56,-0.06560299460121315,0.9485708728431999,CANDIDATE,False
50,90.0,80,0.3,0.25,15,25,0.56,-0.277790044102876,0.8369776736485554,CANDIDATE,False
50,90.0,80,0.3,0.25,20,25,0.72,0.12180995589704252,1.086932597699871,CANDIDATE,False
50,90.0,80,0.3,0.5,5,22,0.4090909090909091,-0.40111722993027465,0.6323092058973597,CANDIDATE,False
50,90.0,80,0.3,0.5,10,22,0.5454545454545454,-0.024965368754816485,0.981867345242458,CANDIDATE,False
50,90.0,80,0.3,0.5,15,22,0.5454545454545454,-0.11290519773385975,0.9339911147981704,CANDIDATE,False
50,90.0,80,0.3,0.5,20,22,0.7272727272727273,0.37300389317517163,1.2794988300359553,CANDIDATE,False
