volume_lookback,high_volume_percentile_threshold,atr_length,max_displacement_atr,near_vwap_threshold_atr,reversal_horizon_bars,trade_count,hit_rate,expectancy_after_cost,profit_factor,max_drawdown,validation_status,passes_hard_filters
150,90.0,40,0.2,0.5,5,889,0.6029246344206974,0.09184667138663462,1.0025154556642857,-2707.0827030075434,CANDIDATE,True
150,90.0,40,0.2,0.5,10,889,0.6377952755905512,-3.4075457881702453,0.9265577742727837,-3770.9553014134945,CANDIDATE,False
150,90.0,40,0.2,0.5,15,889,0.6580427446569179,-1.4564524141029167,0.9692369456119772,-3246.7020529455385,CANDIDATE,False
150,90.0,40,0.2,0.5,20,889,0.6816647919010124,-1.9319101734860131,0.9620474190831753,-4066.0676504911316,CANDIDATE,False
150,90.0,40,0.2,0.75,5,702,0.5655270655270656,-0.7547711692152649,0.9813008642589996,-3095.1252602266704,CANDIDATE,False
150,90.0,40,0.2,0.75,10,702,0.5968660968660968,-4.617516750854997,0.9104769112473533,-4175.319962089761,CANDIDATE,False
150,90.0,40,0.2,0.75,15,702,0.613960113960114,-2.035729954866089,0.9610397233321248,-3466.1927224523915,CANDIDATE,False
150,90.0,40,0.2,0.75,20,702,0.6424501424501424,-2.567428071203763,0.9546918763185802,-3923.366333457183,CANDIDATE,False
150,90.0,40,0.3,0.1,5,2090,0.6909090909090909,-0.11250055343708137,0.9961231651522119,-6252.303508787039,CANDIDATE,False
150,90.0,40,0.3,0.1,10,2090,0.7258373205741627,-2.744572609404132,0.9239034657249319,-8252.902203737465,CANDIDATE,False
150,90.0,40,0.3,0.1,15,2090,0.7444976076555024,-2.0608378616340812,0.9449480926044219,-7806.606511704667,CANDIDATE,False
150,90.0,40,0.3,0.1,20,2090,0.7578947368421053,-3.3603054224156774,0.9174381838045617,-10483.005398173118,CANDIDATE,False
150,90.0,40,0.3,0.25,5,1799,0.6520289049471929,-0.09933019304716385,0.9969268667218394,-5551.919821912037,CANDIDATE,False
150,90.0,40,0.3,0.25,10,1799,0.6903835464146748,-3.2061647616300837,0.9208978646108243,-7587.657119852998,CANDIDATE,False
150,90.0,40,0.3,0.25,15,1799,0.7103946637020567,-2.4572401057811657,0.9416922231195838,-7561.1711885734585,CANDIDATE,False
150,90.0,40,0.3,0.25,20,1799,0.7254030016675931,-3.865645072633233,0.9156589939218941,-10652.634902754471,CANDIDATE,False
150,90.0,40,0.3,0.5,5,1388,0.5951008645533141,0.055356133975962465,1.0015095001809144,-5136.903737618002,CANDIDATE,True
150,90.0,40,0.3,0.5,10,1388,0.6340057636887608,-3.460510326866692,0.925628243534479,-7316.653353845402,CANDIDATE,False
150,90.0,40,0.3,0.5,15,1388,0.6585014409221902,-1.8018663778404373,0.9623597057327163,-6868.234736376004,CANDIDATE,False
150,90.0,40,0.3,0.5,20,1388,0.6765129682997119,-3.4475415114229824,0.9342721094205582,-9710.419718240968,CANDIDATE,False
150,90.0,40,0.3,0.75,5,1108,0.5577617328519856,-0.8122007458425964,0.9798720996109685,-6277.176773620375,CANDIDATE,False
150,90.0,40,0.3,0.75,10,1108,0.5947653429602888,-4.5733974678901195,0.9108242222578092,-8183.667944015779,CANDIDATE,False
150,90.0,40,0.3,0.75,15,1108,0.6173285198555957,-2.2846028030817873,0.9563919220325662,-8044.520565965377,CANDIDATE,False
150,90.0,40,0.3,0.75,20,1108,0.6380866425992779,-3.8290520059557402,0.933484006355942,-8037.166986019205,CANDIDATE,False
150,90.0,40,0.4,0.1,5,2798,0.6879914224446033,-0.07951844017450606,0.9973024006934179,-5239.72731594067,CANDIDATE,False
